sunlit times,,
Start Time (UTCG),Stop Time (UTCG),Duration (sec)
24:42.2,45:25.2,8443.065
24:41.7,45:20.1,8438.318
24:41.3,45:14.9,8433.611
24:40.8,45:09.7,8428.939
24:40.2,45:04.5,8424.295
24:39.6,44:59.3,8419.693
24:38.9,44:54.0,8415.129
24:38.2,44:48.8,8410.606
24:37.4,44:43.5,8406.119
24:36.6,44:38.2,8401.674
24:35.6,44:32.9,8397.27
24:34.7,44:27.6,8392.907
24:33.6,44:22.2,8388.586
24:32.4,44:16.7,8384.309
24:31.2,44:11.2,8380.072
24:29.8,44:05.7,8375.882
24:28.3,44:00.1,8371.739
24:26.7,43:54.4,8367.644
24:25.0,43:48.6,8363.603
24:23.1,43:42.8,8359.611
24:21.2,43:36.8,8355.67
24:19.1,43:30.9,8351.79
24:16.9,43:24.8,8347.957
24:14.6,43:18.7,8344.188
24:12.1,43:12.6,8340.469
24:09.7,43:06.5,8336.807
24:07.1,43:00.3,8333.199
24:04.4,42:54.1,8329.643
24:01.8,42:47.9,8326.138
23:59.0,42:41.7,8322.684
23:56.3,42:35.5,8319.275
23:53.5,42:29.4,8315.904
23:50.7,42:23.3,8312.582
23:47.9,42:17.2,8309.296
23:45.1,42:11.1,8306.048
23:42.2,42:05.1,8302.835
23:39.4,41:59.1,8299.658
23:36.6,41:53.1,8296.506
23:33.7,41:47.1,8293.394
23:30.8,41:41.1,8290.3
23:28.0,41:35.2,8287.238
23:25.1,41:29.3,8284.205
23:22.1,41:23.3,8281.195
23:19.2,41:17.4,8278.202
23:16.3,41:11.5,8275.236
23:13.3,41:05.6,8272.291
23:10.3,40:59.7,8269.368
23:07.3,40:53.8,8266.461
23:04.3,40:47.9,8263.573
23:01.3,40:42.0,8260.698
22:58.2,40:36.1,8257.842
22:55.2,40:30.2,8255.003
22:52.2,40:24.4,8252.173
22:49.2,40:18.5,8249.359
22:46.2,40:12.8,8246.558
22:43.2,40:07.0,8243.771
22:40.3,40:01.3,8240.998
22:37.4,39:55.6,8238.239
22:34.5,39:50.0,8235.494
22:31.6,39:44.4,8232.766
22:28.8,39:38.9,8230.054
22:26.1,39:33.4,8227.359
22:23.4,39:28.1,8224.686
22:20.7,39:22.7,8222.025
22:18.1,39:17.5,8219.39
22:15.5,39:12.3,8216.771
22:13.0,39:07.2,8214.169
22:10.5,39:02.1,8211.589
22:08.1,38:57.2,8209.032
22:05.8,38:52.3,8206.491
22:03.4,38:47.4,8203.969
22:01.2,38:42.6,8201.464
21:59.0,38:37.9,8198.975
21:56.8,38:33.3,8196.506
21:54.6,38:28.7,8194.057
21:52.5,38:24.2,8191.619
21:50.5,38:19.7,8189.201
21:48.4,38:15.2,8186.799
21:46.4,38:10.8,8184.417
21:44.4,38:06.4,8182.047
21:42.4,38:02.1,8179.7
21:40.4,37:57.8,8177.366
21:38.4,37:53.5,8175.057
21:36.5,37:49.2,8172.766
21:34.5,37:45.0,8170.495
21:32.6,37:40.8,8168.249
21:30.6,37:36.6,8166.026
21:28.7,37:32.5,8163.831
21:26.7,37:28.4,8161.653
21:24.8,37:24.3,8159.502
21:22.9,37:20.3,8157.374
21:21.0,37:16.2,8155.272
21:19.0,37:12.2,8153.188
21:17.1,37:08.3,8151.126
21:15.2,37:04.3,8149.085
21:13.3,37:00.3,8147.065
21:11.3,36:56.4,8145.062
21:09.4,36:52.5,8143.078
21:07.4,36:48.5,8141.116
21:05.4,36:44.5,8139.172
21:03.3,36:40.6,8137.25
21:01.2,36:36.6,8135.348
20:59.1,36:32.5,8133.467
20:56.9,36:28.5,8131.611
20:54.6,36:24.4,8129.78
20:52.3,36:20.3,8127.975
20:50.0,36:16.2,8126.205
20:47.6,36:12.0,8124.462
20:45.1,36:07.9,8122.753
20:42.6,36:03.7,8121.074
20:40.1,35:59.6,8119.436
20:37.6,35:55.4,8117.823
20:35.0,35:51.2,8116.244
20:32.4,35:47.1,8114.692
20:29.7,35:42.9,8113.17
20:27.1,35:38.7,8111.668
20:24.4,35:34.5,8110.19
20:21.6,35:30.4,8108.736
20:18.8,35:16.8,4497.991
,,
Eclipse times (penumbra),,
